task_name,instance_id,instance_content,standard_output,nl_output,nl_score,spl_output,spl_score,risen_output,risen_score,rodes_output,rodes_score
task729_,1,"Suzy, a member of the sandbaggers, is mad about the general state of affairs and is itching to sue the federal government. Which of the following would enable her to have standing to do so?
(A)She has been or will be directly and personally injured by the government action, which affects her rights under the federal law. (B)A decision in her favor would resolve her grievance. (C)As a citizen, she can claim that government action violates federal law. (D)a and b",D,A,0,A,0,A,0,A,0
task729_,2,"A boyfriend and his girlfriend broke into a house late at night with the intent to steal a stereo system. Although they believed that the homeowner was away on a business trip, he was, in fact, asleep in an upstairs bedroom. While they were inside the house, the girlfriend announced that she had changed her mind and urged her boyfriend to leave. The homeowner, who was awakened by the noise downstairs, descended the staircase to investigate. Upon seeing the homeowner, the girlfriend again urged her boyfriend to flee. Instead, the boyfriend attacked the homeowner and tied him up with rope. Thereupon, the boyfriend and girlfriend departed with the stereo equipment. After they left, the homeowner choked to death from the ropes while trying to free himself. The boyfriend and girlfriend were charged with burglary but were acquitted. Thereafter, the boyfriend and girlfriend were apprehended and prosecuted for felony murder with the underlying felony being burglary. With respect to the boyfriend and girlfriend's criminal liability for felony murder, which of the following is most correct?
(A)The burglary acquittal precludes any subsequent prosecution under the doctrine of res judicata. (B)The burglary acquittal precludes any subsequent prosecution under the doctrine of collateral estoppel. (C)The burglary acquittal precludes prosecution for felony murder under the doctrine of double jeopardy. (D)The burglary acquittal does not preclude subsequent prosecution for felony murder.",C,D,0,D,0,D,0,D,0
task729_,3,"A hardware store had a public pay telephone attached to the outside wall of its building. The telephone was owned and operated by the local telephone company. On Thursday, November 25, the store was closed for Thanksgiving. A resident, who lived two doors away, walked to the hardware store to use the telephone. He wanted to call his son and daughter- in-law to wish them a happy Thanksgiving, but his home phone was out of order. The resident picked up the receiver, inserted coins for the cost of the call, and promptly received an electric shock. Although the resident was momentarily stunned, he did not suffer any pain or injuries. Unbeknownst to the resident, a technician employed by the telephone company had incorrectly rewired the telephone the previous day, causing a short circuit in the telephone mechanism. If the resident institutes a personal injury action for negligence against the telephone company, he will most likely
(A)recover, because the technician's error would constitute the proximate cause of the resident's injuries.  (B)recover, because the technician's error was a substantial factor in causing the resident's injuries.  (C)recover, under the doctrine of respondeat superior (D)not recover, because the resident did not suffer any injuries. ",D,D,1,D,1,D,1,D,1
task729_,4,"On October 1, Arthur mailed to Madison an offer to sell a tract of land located in Summerville for $13,000.  Acceptance was to be not later than October 10.  Madison posted his acceptance on the 3rd of October.  The acceptance arrived on October 7.  On October 4, Arthur sold the tract in question to Larson and mailed to Madison notice of the sale.  That letter arrived on the 6th of October, but after Madison had dispatched his letter of acceptance.  Which of the following is correct?
(A)There was a valid acceptance of the Arthur offer on the day Madison posted his acceptance. (B)Arthur's offer was effectively revoked by the sale of the tract of land to Larson on the 4th of October. (C)Arthur could not revoke the offer to sell the land until after October 10. (D)Madison's acceptance was not valid since he was deemed to have notice of revocation prior to the acceptance.",A,A,1,C,0,A,1,C,0
task729_,5,"A plaintiff has sued the government for injuries she received when her car was allegedly forced off the road by a military convoy. At trial, an eyewitness testifies for the plaintiff and then is asked on cross- examination whether he belongs to a religious group that refuses on principle to file federal tax returns, because the revenues are used to build weapons of war. Is the question proper? 
(A)No, because evidence of the witness's religious beliefs cannot be used for impeachment in this case. (B)No, because the witness's character cannot be impeached by evidence of criminal acts, but only by convictions. (C)Yes, because a person's willingness to violate tax laws indicates possible willingness to testify falsely. (D)Yes, because the witness's beliefs are relevant to the possibility of bias.",D,C,0,D,1,D,1,D,1
task729_,6,"Shortly after breaking up with the defendant, a woman began dating the victim. The defendant, who still loved the woman, hated the victim. During a holiday weekend, the woman and the victim arranged to go camping in a federal park. The defendant and his friend decided to beat up the victim while he and the woman were on their camping trip. They went to the campsite where the woman and the victim were staying, but they couldn't find the couple, who were hiking in the woods. Subsequently, the defendant was arrested and charged with conspiracy to commit an assault in a federal park. At trial, the defendant testified that he didn't know he was in a federal park. Moreover, he stated that if he had known, he would never have agreed to the crime. If the jury believes the defendant, he should be found
(A)guilty, because federal conspiracy laws do not require the mental retainment ofjurisdictional requirements. (B)guilty, because federal conspiracy laws require only an intent to commit a prohibited act, but do not require a knowledge of the surrounding circumstances. (C)not guilty, because he didn't have the specific intent to commit the crime of assault in a federal park. (D)not guilty, because he did not agree to commit a crime in a federal park.",A,B,0,C,0,B,0,B,0
task729_,7,"A witness testified under a state grant of immunity about statewide gambling activities being investigated by a state grand jury. Five months later, the witness was subpoenaed by a federal grand jury investigating gambling related activities. Which of the following statements is correct with respect to the witness's rights before the federal grand jury?
(A)The witness's grant of immunity by the state would extend to all subsequent investigations. (B)Federal authorities have the burden of showing that they have an independent source for their evidence against the witness. (C)The witness's Fifth Amendment protection against double jeopardy would extend to federal prosecution. (D)In order for the witness's grant of immunity to apply in the federal investigation, it must be broader than the protection afforded by his Fifth Amendment privilege against selfincrimination. ",B,B,1,B,1,B,1,B,1
task729_,8,"The navy wanted to build a naval base on the north shore of an island in Hawaii. Situated along the north shore of this island were coral reefs which are the home of a very rare species of fish that are found only along the north shore area. Congress conducted hearings to decide whether to authorize the construction of the naval base. During the hearings, one of the speakers who addressed the congressional committee was a famous expert on oceanography and marine biology. The expert vehemently opposed the naval plan and stated that the construction would, in his opinion, result in the extinction of the rare species of fish. Congress thereafter approved the construction of the naval base and passed a bill providing necessary authorization and funding for the project. The expert has filed an action in federal district court seeking to enjoin the construction of the naval base on ecological grounds. Does the expert have adequate standing?
(A)Yes, because he has a personal stake in the litigation.  (B)Yes, because he is a recognized expert on marine biology and he testified at the congressional hearings.  (C)No, because the suit presents a nonjusticiable political question.  (D)No, because he is not suffering any actual harm or injury. ",D,D,1,D,1,D,1,D,1
task729_,9,"A developer wished to build an apartment house in a local city. He raised $1 million from various sources to fund the project. After searching for a vacant lot that would be sufficient for development, the developer concluded that there was not a suitable vacant lot available. Reluctantly, the developer concluded that he would have to purchase a developed lot, have the existing structures removed, and then build the apartment house. The developer was reluctant to do this, because he had not budgeted for the additional cost of buying a developed property and removing the development. After a search for an appropriate parcel, the developer purchased a large lot, developed with a single-story residential home, for $200,000. He then spent $50,000 having the residential home removed from the lot. Knowing that it would cost approximately $850,000 to build the apartment house, the developer realized he would need to raise another $100,000. He approached an investor about lending him $100,000. The investor was apprehensive about the project because the developer had not yet lined up a construction firm to build the apartment house. As a result, the parties signed the following written agreement:""The investor promises to lend to the developer $100,000 at 5 percent interest within 30 days, provided the developer contracts with a construction company to build the apartment house for no more than $850,000. Loan to be repaid at the rate of $1,000 per month, starting one month after the completion of the apartment house. The loan is to be secured by a mortgage on the property. ""The developer then contracted with a construction company to build the apartment for $800,000. After the contract was signed and construction had begun, the developer asked the investor when he would be receiving the $100,000 the investor promised to lend him. The investor replied, ""I've changed my mind. I think this is too risky an investment. I'm not going to lend you the money. ""In an appropriate action to secure specific performance of the investor's promise to lend him the $100,000, the developer will
(A)win, because there is a memorandum that satisfies the Statute of Frauds. (B)win, because land is unique, making the legal remedy inadequate. (C)lose, because the developer's only remedy is for damages. (D)lose, because the developer cannot show detrimental reliance.",C,B,0,B,0,B,0,B,0
task729_,10,"A man decided to give a cabin he owned to his daughter at his death. To accomplish this goal, he delivered to his attorney a deed that fully complied with the applicable statute of frauds and told his attorney to record the deed when he died unless he later gave the attorney instructions to the contrary. Three weeks after dropping off the deed, the man properly drafted and executed his own will, which left all of his real property to his son. One year later, the man died, and the attorney immediately recorded the deed. At the time of the man's death, the cabin was titled in his name and he owned no other real property. The daughter and the son now disagree as to who is entitled to ownership of the cabin. Other than the jurisdiction's statute of frauds and statute of wills, there are no applicable statutes. Who is entitled to ownership of the cabin? 
(A)The daughter, because the attorney was, for gift-law purposes, a trustee for the daughter. (B)The daughter, because the deed fully complied with the statute of frauds. (C)The son, because the deed was not delivered to the daughter during the man's lifetime. (D)The son, because the proper execution of the will revoked the earlier gift to the daughter.",C,C,1,C,1,C,1,C,1
