task_name,instance_id,instance_content,standard_output,nl_output,nl_score,spl_output,spl_score,risen_output,risen_score,rodes_output,rodes_score
task190_,1,Sentence 1: This guy is visiting with someone in their car. Sentence 2: The guy visits a man.,C,N,0,"The relationship between the two sentences is neutral. 

Sentence 1 states that ""This guy is visiting with someone in their car,"" which implies a social interaction involving a car. Sentence 2 states that ""The guy visits a man,"" which indicates a visit but does not specify the context or location. There is no direct contradiction, nor does one sentence entail the other; they simply provide different information about the same subject.",0,N,0,N (neutral),0
task190_,2,Sentence 1: A man in a red striped shirt and vest making food for sale. Sentence 2: man selling delicious food,N,E,0,"The relationship between the two sentences is neutral.

Sentence 1 describes a man who is making food for sale, while Sentence 2 states that a man is selling delicious food. The first sentence does not confirm that the food is delicious, nor does it contradict the idea that the man is selling food. Therefore, the two sentences are related but do not entail or contradict each other.",1,E,0,E,0
task190_,3,Sentence 1: A black-haired man dressed in black is blowing into an object while situated next to someone in pink. Sentence 2: A man is blowing dust off an object.,N,N,1,"The relationship between the two sentences is neutral.

Sentence 1 describes a specific scenario involving a black-haired man dressed in black blowing into an object next to someone in pink, while Sentence 2 describes a man blowing dust off an object. There is no direct contradiction or entailment between the two sentences; they simply present different situations.",1,N,1,N (neutral),1
task190_,4,Sentence 1: A man laying on the floor as he works on an unfinished wooden chair with a tool on the ground. Sentence 2: A man is standing on a recliner.,C,C,1,"The relationship between the two sentences is a contradiction.

Sentence 1 describes a man laying on the floor working on a chair, while Sentence 2 states that a man is standing on a recliner. These two scenarios cannot both be true at the same time.",1,C,1,C (contradiction),1
task190_,5,Sentence 1: Two men stop to talk near a sign outside. Sentence 2: Two men talk near the stop sign.,N,E,0,"The relationship between the two sentences is neutral.

While both sentences describe two men talking, the first sentence specifies that they stop to talk near a sign, whereas the second sentence implies they are talking near a stop sign without mentioning stopping. Therefore, the information is related but not directly entailed or contradictory.",1,E,0,E (entailment),0
task190_,6,"Sentence 1: Two men in black jumped with arms raised on a tennis court, as the opposing team in white walk towards the net. Sentence 2: Two men in white jump.",C,C,1,"The relationship between the two sentences is neutral.

Sentence 1 describes a specific scenario involving two men in black on a tennis court, while Sentence 2 mentions two men in white jumping, which does not directly relate to the first sentence. There is no clear entailment or contradiction between the two.",0,C,1,N (neutral),0
task190_,7,Sentence 1: A young boy trying to impress his dad by doing yard work. Sentence 2: A young person is working in the yard.,C,E,0,"The relationship between the two sentences is neutral.

Sentence 1 specifies that a young boy is trying to impress his dad by doing yard work, while Sentence 2 states that a young person is working in the yard. The second sentence does not provide any information about the boy's intention or relationship with his dad, so we cannot conclude that one entails the other or that they contradict each other.",0,N,0,N (neutral),0
task190_,8,Sentence 1: A man stands on snow and looks out at mountains and forests. Sentence 2: A man is on the snow.,C,E,0,"The relationship between the two sentences is entailment.

Sentence 1 states that ""A man stands on snow and looks out at mountains and forests,"" which implies that the man is indeed on the snow. Sentence 2 simply states ""A man is on the snow,"" which is a direct implication of the first sentence. Therefore, Sentence 2 is entailed by Sentence 1.",0,E,0,E (entailment),0
task190_,9,Sentence 1: A plane is flying over a group of people. Sentence 2: A plan crashes into people.,C,C,1,"The relationship between the two sentences is a contradiction.

Sentence 1 states that a plane is flying over a group of people, while Sentence 2 states that a plane crashes into people. These two scenarios cannot both be true at the same time, as one implies a safe flight and the other implies an accident.",1,C,1,C (contradiction),1
task190_,10,Sentence 1: Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy. Sentence 2: There is a blond girl in martial arts uniform outdoors,C,N,0,"The relationship between the two sentences is neutral.

Sentence 1 specifies that the blond girl is in a yellow-belt martial arts uniform, standing in front of a door, and carrying a large trophy. Sentence 2 states that there is a blond girl in a martial arts uniform outdoors. While both sentences mention a blond girl in a martial arts uniform, they provide different contexts and details, making it unclear if one entails the other or if they contradict each other.",0,N,0,N (neutral),0
task190_,11,Sentence 1: Many people at an outdoor gathering with a guy and girl in the foreground. Sentence 2: No one decided to come to the planned gathering.,C,C,1,"The relationship between the two sentences is a contradiction.

Sentence 1 indicates that there are many people at an outdoor gathering, while Sentence 2 states that no one decided to come to the planned gathering. These two statements cannot both be true at the same time.",1,C,1,C (contradiction),1
task190_,12,Sentence 1: A girl in a pink shirt playing with a green ball. Sentence 2: The small girl is having old fashioned fun.,C,N,0,"The relationship between the two sentences is neutral.

Sentence 1 describes a specific scenario of a girl playing with a green ball, while Sentence 2 makes a general statement about a small girl having fun. There is no direct contradiction or entailment between the two sentences; they can both be true without one implying the other.",0,N,0,N (neutral),0
