task_name,instance_id,instance_content,standard_output,nl_output,nl_score,spl_output,spl_score,risen_output,risen_score,rodes_output,rodes_score
task190_,1,Sentence 1: This guy is visiting with someone in their car. Sentence 2: The guy visits a man.,C,N,0,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: ""This guy is visiting with someone in their car.""
        sentence2: ""The guy visits a man.""
    [END_INPUTS]

    [OUTPUTS]
        result: ""Neutral""
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: ""Neutral"" SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]

Result: Neutral",0,N,0,Output: N (Neutral),0
task190_,2,Sentence 1: A man in a red striped shirt and vest making food for sale. Sentence 2: man selling delicious food,N,E,0,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: A man in a red striped shirt and vest making food for sale.
        sentence2: man selling delicious food
    [END_INPUTS]

    [OUTPUTS]
        result: The sentences agree.
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: The sentences agree. SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]

[AGENT OUTPUT]
result: The sentences agree.
[END AGENT OUTPUT]",0,N,1,Output: N (Neutral),1
task190_,3,Sentence 1: A black-haired man dressed in black is blowing into an object while situated next to someone in pink. Sentence 2: A man is blowing dust off an object.,N,N,1,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: A black-haired man dressed in black is blowing into an object while situated next to someone in pink.
        sentence2: A man is blowing dust off an object.
    [END_INPUTS]

    [OUTPUTS]
        result: The sentences disagree.
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: The sentences disagree. SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]

[AGENT: SentenceComparisonAgent]
    [VARIABLES]
        sentence1: A black-haired man dressed in black is blowing into an object while situated next to someone in pink.
        sentence2: A man is blowing dust off an object.
        result: The sentences disagree.
    [END_VARIABLES]
[END_AGENT]",0,C,0,Output: N (Neutral),1
task190_,4,Sentence 1: A man laying on the floor as he works on an unfinished wooden chair with a tool on the ground. Sentence 2: A man is standing on a recliner.,C,C,1,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: A man laying on the floor as he works on an unfinished wooden chair with a tool on the ground.
        sentence2: A man is standing on a recliner.
    [END_INPUTS]

    [OUTPUTS]
        result: The sentences disagree.
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: The sentences disagree. SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]",1,C,1,Output: C (Contradiction),1
task190_,5,Sentence 1: Two men stop to talk near a sign outside. Sentence 2: Two men talk near the stop sign.,N,E,0,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: ""Two men stop to talk near a sign outside.""
        sentence2: ""Two men talk near the stop sign.""
    [END_INPUTS]

    [OUTPUTS]
        result: ""neutral""
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: ""neutral"" SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]

[AGENT OUTPUT]
result: ""neutral""
[END AGENT OUTPUT]",1,E,0,Output: N (Neutral),1
task190_,6,"Sentence 1: Two men in black jumped with arms raised on a tennis court, as the opposing team in white walk towards the net. Sentence 2: Two men in white jump.",C,C,1,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: ""Two men in black jumped with arms raised on a tennis court, as the opposing team in white walk towards the net.""
        sentence2: ""Two men in white jump.""
    [END_INPUTS]

    [OUTPUTS]
        result: ""The sentences disagree.""
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: ""The sentences disagree."" SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]

[AGENT: SentenceComparisonAgent]
    [VARIABLES]
        sentence1: ""Two men in black jumped with arms raised on a tennis court, as the opposing team in white walk towards the net.""
        sentence2: ""Two men in white jump.""
        result: ""The sentences disagree.""
    [END_VARIABLES]
[END_AGENT]",1,C,1,Output: C (Contradiction),1
task190_,7,Sentence 1: A young boy trying to impress his dad by doing yard work. Sentence 2: A young person is working in the yard.,C,E,0,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: A young boy trying to impress his dad by doing yard work.
        sentence2: A young person is working in the yard.
    [END_INPUTS]

    [OUTPUTS]
        result: neutral
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: neutral SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]

[AGENT OUTPUT]
result: neutral
[END AGENT OUTPUT]",0,E,0,Output: E (Entailment),0
task190_,8,Sentence 1: A man stands on snow and looks out at mountains and forests. Sentence 2: A man is on the snow.,C,E,0,"[ACTIVATE_WORKER: SentenceComparisonWorker]

[INPUTS]
    sentence1: A man stands on snow and looks out at mountains and forests.
    sentence2: A man is on the snow.
[END_INPUTS]

[MAIN_FLOW]
    [SEQUENTIAL_BLOCK]
        COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: text SET]
    [END_SEQUENTIAL_BLOCK]
[END_MAIN_FLOW]

[OUTPUTS]
    result: The sentences agree.
[END_OUTPUTS]

[DEACTIVATE_WORKER: SentenceComparisonWorker]

[RESULT]
    The sentences agree.
[END_RESULT]",0,E,0,Output: E (Entailment),0
task190_,9,Sentence 1: A plane is flying over a group of people. Sentence 2: A plan crashes into people.,C,C,1,"[START_WORKER SentenceComparisonWorker]
    [INPUTS]
        sentence1: A plane is flying over a group of people.
        sentence2: A plan crashes into people.
    [END_INPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: text SET]
                sentence1: A plane is flying over a group of people.
                sentence2: A plan crashes into people.
                result: The sentences disagree.
            [END_COMMAND]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]

    [OUTPUTS]
        result: The sentences disagree.
    [END_OUTPUTS]
[END_WORKER]",1,C,1,Output: C (Contradiction),1
task190_,10,Sentence 1: Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy. Sentence 2: There is a blond girl in martial arts uniform outdoors,C,N,0,"[WORKER: SentenceComparisonWorker]
    [INPUTS]
        sentence1: Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy.
        sentence2: There is a blond girl in martial arts uniform outdoors.
    [END_INPUTS]

    [OUTPUTS]
        result: The sentences are neutral.
    [END_OUTPUTS]

    [MAIN_FLOW]
        [SEQUENTIAL_BLOCK]
            COMMAND-1 [COMMAND Given two sentences, determine if they agree, disagree, or are neutral RESULT result: The sentences are neutral. SET]
        [END_SEQUENTIAL_BLOCK]
    [END_MAIN_FLOW]
[END_WORKER]

[AGENT OUTPUT]
result: The sentences are neutral.
[END AGENT OUTPUT]",0,N,0,Output: N (Neutral),0
